feature,importance
EntityType_CloudLogonRequest,0.012522913113859849
MitreTechniques_T1568;T1008,0.01241330685604903
evidence_count,0.012148616340135043
Category_CredentialAccess,0.011701193879031985
AlertId_nunique,0.010735955298488614
MitreTechniques_T1110;T1110.001;T1110.003,0.008698833353984229
EntityType_AzureResource,0.008644572042177664
ResourceType_Virtual Machine,0.008367087660895427
Roles_Source,0.008093474666362696
Roles_Attacker,0.007979439627841796
EntityType_Machine,0.007895789376213424
ActionGranular_Other,0.0076337961883293035
ResourceType_Other,0.0075742488019090405
EntityType_Malware,0.007524816979293873
EntityType_GenericEntity,0.007053353180126279
MitreTechniques_T1559;T1106;T1059.005,0.00672414208111812
Category_LateralMovement,0.006629028679036659
ActionGrouped_Other,0.006338169955698904
ResourceIdName_nunique,0.006298633135697401
MitreTechniques_T1110;T1110.003;T1110.001,0.005838208610454784
MitreTechniques_T1078,0.005620698831340439
EntityType_OAuthApplication,0.0053889005022475026
Roles_Destination,0.004815675174264255
Category_Impact,0.004740313119030389
Category_Discovery,0.004659291213536007
OAuthApplicationId_nunique,0.0045265168785051805
Category_Malware,0.004439364502012074
MitreTechniques_T1046;T1071;T1210,0.004239010158421148
MitreTechniques_T1110,0.004217910124381343
Roles_Compromised,0.003957087319446409
Category_DefenseEvasion,0.00391962861083061
RegistryKey_nunique,0.0038908359275140547
MitreTechniques_T1210,0.003789662745520169
MitreTechniques_T1046;T1030;T1071;T1071.001,0.003786394086631691
MitreTechniques_T1003;T1012;T1552.002,0.0037840677389176128
MitreTechniques_T1557.001,0.003369475453069819
ActionGranular_account password changed,0.0031620626360800734
ActionGranular_change user password.,0.003012679302347565
EntityType_RegistryValue,0.002734319789776096
Category_Collection,0.002670433575718298
MitreTechniques_T1189,0.0026615511005761068
MitreTechniques_T1059,0.0026214022987931943
MitreTechniques_T1110;T1110.003,0.0025443388749178016
MitreTechniques_T1087;T1087.002,0.0025414896089743042
MitreTechniques_T1528,0.0025047176737129067
MitreTechniques_T1534,0.002455608573380588
MitreTechniques_T1046,0.002409812572291862
ThreatFamily_Other,0.0024066269758807584
MitreTechniques_T1047;T1057,0.0023832151239102195
AntispamDirection_Intraorg,0.0021944705034154066
ThreatFamily_Phish,0.0021395974555417237
ThreatFamily_Malgent,0.0021272085129995944
MitreTechniques_T1098,0.002123649275873236
MitreTechniques_T1562.001;T1562.006,0.00199799298320191
MitreTechniques_T1059.001,0.0019580121929686717
MitreTechniques_T1569.002,0.0019519945763509625
MitreTechniques_T1190,0.0015945737241970742
ThreatFamily_Donoff,0.0015482248508398683
Category_Exploit,0.0015242733184856405
AntispamDirection_Other,0.0014405536263034063
RegistryValueData_nunique,0.0014348615844006108
MitreTechniques_T1550;T1550.003,0.0013968292073435883
MitreTechniques_T1003;T1005;T1119;T1539;T1550.004;T1552.001;T1555.003;T1555.004,0.0013432234771298159
Category_Persistence,0.0013282805091127702
MitreTechniques_T1078;T1110,0.0012837073050779885
ThreatFamily_CustomEnterpriseBlock,0.0012810872760731387
MitreTechniques_T1497.002,0.0012763877327411587
RegistryValueName_nunique,0.0012717921506346511
EntityType_RegistryKey,0.0012266716012424735
Category_UnwantedSoftware,0.00116725554600987
MitreTechniques_T1204.002,0.0011475610545415124
MitreTechniques_T1098;T1078,0.0010327769031346697
MitreTechniques_T1041,0.001023924304115038
EntityType_Other,0.001006335160966777
MitreTechniques_T1133,0.000765799370633175
Roles_Suspicious,0.0007493148526447945
MitreTechniques_T1055;T1055.001;T1055.002;T1055.003;T1055.004;T1055.005;T1055.012,0.0007327265875790692
MitreTechniques_T1595,0.0007125151616243314
MitreTechniques_T1030,0.0007084418615151634
Roles_Other,0.000687023953418856
MitreTechniques_T1485,0.0006287598710746425
MitreTechniques_T1053.002;T1053.005,0.0006128886742739466
Category_Ransomware,0.000532649208647066
MitreTechniques_T1053;T1053.005,0.0005156567975935134
Category_PrivilegeEscalation,0.0005046217573019213
MitreTechniques_T1057;T1059.001,0.00048266616362590794
MitreTechniques_T1071;T1048,0.0004742403149564613
MitreTechniques_T1087,0.0004607835278079807
MitreTechniques_T1098;T1114,0.00041954132874444817
MitreTechniques_T1021,0.00038585287408835454
MitreTechniques_T1204.001,0.0003664397335084975
MitreTechniques_T1007;T1059.001,0.00033938477578711427
MitreTechniques_T1204,0.00029037606961879024
